latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.8125,14.4375,1176.0,0,GMT,GMT

time,windspeed_10m (km/h),winddirection_10m (°),windspeed_100m (km/h),winddirection_100m (°),temperature_2m (°C),relative_humidity_2m (%),surface_pressure (hPa),precipitation (mm)
2025-12-06T00:00,5.9,346,9.4,50,2.3,84,873.8,0.00
2025-12-06T01:00,6.5,341,8.7,48,2.3,84,874.5,0.00
2025-12-06T02:00,6.3,336,9.0,53,2.5,83,874.8,0.00
2025-12-06T03:00,5.1,352,8.2,49,1.8,87,874.9,0.00
2025-12-06T04:00,3.6,354,7.9,51,1.5,89,874.8,0.00
2025-12-06T05:00,2.6,344,7.9,51,1.4,89,875.2,0.00
2025-12-06T06:00,3.1,339,7.1,66,1.0,90,875.0,0.00
2025-12-06T07:00,2.7,337,6.6,81,1.4,89,875.7,0.00
2025-12-06T08:00,2.3,342,6.2,69,3.0,87,876.8,0.00
2025-12-06T09:00,2.0,45,5.9,52,5.0,81,878.1,0.00
2025-12-06T10:00,2.8,50,5.7,55,7.0,71,878.9,0.00
2025-12-06T11:00,2.6,34,4.6,51,8.0,66,878.8,0.00
2025-12-06T12:00,4.4,351,4.1,38,8.6,65,879.0,0.00
2025-12-06T13:00,3.9,338,5.4,53,8.8,64,878.6,0.00
2025-12-06T14:00,4.8,312,4.6,51,8.5,65,878.8,0.00
2025-12-06T15:00,4.3,294,3.1,54,7.8,71,878.6,0.00
2025-12-06T16:00,4.3,312,2.7,67,6.1,79,878.0,0.00
2025-12-06T17:00,4.9,306,3.8,73,4.8,84,877.8,0.00
2025-12-06T18:00,4.7,302,4.0,80,4.1,89,877.5,0.00
2025-12-06T19:00,4.9,306,1.3,34,3.7,89,877.9,0.00
2025-12-06T20:00,3.9,326,1.1,18,3.2,89,877.7,0.00
2025-12-06T21:00,2.9,353,3.6,84,2.9,86,877.8,0.00
2025-12-06T22:00,1.5,315,0.8,297,3.0,85,878.0,0.00
2025-12-06T23:00,1.5,284,3.1,111,3.3,81,878.1,0.00
2025-12-07T00:00,1.3,56,0.5,135,3.4,78,878.1,0.00
2025-12-07T01:00,0.0,270,4.3,95,2.3,83,878.0,0.00
2025-12-07T02:00,1.8,259,3.3,77,2.6,79,877.9,0.00
2025-12-07T03:00,1.1,360,3.4,72,2.8,76,877.8,0.00
2025-12-07T04:00,1.3,304,5.0,60,1.6,84,877.2,0.00
2025-12-07T05:00,1.3,34,7.2,63,1.6,86,877.5,0.00
2025-12-07T06:00,1.1,342,8.3,72,1.3,90,877.8,0.00
2025-12-07T07:00,1.5,45,7.9,60,1.3,91,878.2,0.00
2025-12-07T08:00,0.8,333,7.2,63,2.4,90,879.0,0.00
2025-12-07T09:00,1.8,53,7.3,70,5.0,82,880.5,0.00
2025-12-07T10:00,3.4,72,7.3,57,6.8,71,880.9,0.00
2025-12-07T11:00,2.1,59,6.4,52,7.8,64,881.0,0.00
2025-12-07T12:00,2.2,360,7.9,47,8.5,57,881.0,0.00
2025-12-07T13:00,3.3,347,8.2,49,8.6,61,881.0,0.00
2025-12-07T14:00,4.2,340,8.4,47,8.1,68,880.8,0.00
2025-12-07T15:00,5.2,344,9.2,45,7.2,78,881.0,0.00
2025-12-07T16:00,5.2,344,10.2,51,5.6,82,880.6,0.00
2025-12-07T17:00,5.6,333,10.5,52,4.5,82,880.7,0.00
2025-12-07T18:00,5.6,333,9.3,62,4.0,78,880.7,0.00
2025-12-07T19:00,4.8,347,9.4,58,3.4,78,880.8,0.00
2025-12-07T20:00,3.8,343,8.3,56,3.0,75,880.8,0.00
2025-12-07T21:00,3.6,323,8.5,62,2.6,74,880.7,0.00
2025-12-07T22:00,4.0,355,8.3,56,1.8,76,880.9,0.00
2025-12-07T23:00,4.5,346,8.8,55,1.9,72,881.4,0.00
2025-12-08T00:00,3.3,13,7.9,47,1.5,72,881.4,0.00
2025-12-08T01:00,4.7,337,9.7,51,1.5,68,881.8,0.00
2025-12-08T02:00,4.0,355,9.2,59,1.4,67,881.6,0.00
2025-12-08T03:00,5.1,356,9.5,61,1.0,70,881.6,0.00
2025-12-08T04:00,3.3,13,9.8,62,0.7,75,881.5,0.00
2025-12-08T05:00,4.0,333,10.0,60,1.0,73,882.2,0.00
2025-12-08T06:00,3.7,349,10.2,67,1.0,72,882.8,0.00
2025-12-08T07:00,4.0,333,9.7,68,1.5,73,883.7,0.00
2025-12-08T08:00,4.3,355,8.7,66,3.0,70,884.9,0.00
2025-12-08T09:00,2.9,7,9.1,56,5.3,71,886.2,0.00
2025-12-08T10:00,4.3,24,9.5,53,7.2,65,887.2,0.00
2025-12-08T11:00,4.2,31,9.2,59,8.6,56,887.7,0.00
